,0
1636,609923505
1637,609917002
1638,606990363
1639,609627868
1640,598834960
1641,609462462
1642,605347892
1643,605215800
1644,609376016
1645,609364826
1646,609271645
1647,609240516
1648,609039447
1649,608999011
1650,608292086
1651,562986570
1652,607511063
1653,607283258
1654,607251720
1655,607161475
1656,595625566
1657,606761027
1658,606495285
1659,585903141
1660,596457202
1661,606181670
1662,603098613
1663,605671347
1664,605334263
1665,591410829
1666,605088464
1667,604744430
1668,604653116
1669,604153581
1670,604038466
1671,603923493
1672,603784967
1673,603503451
1674,603337955
1675,603330795
1676,603072762
1677,602535482
1678,599294841
1679,600811421
1680,592369870
1681,600770951
1682,597702181
1683,571523836
1684,600500290
1685,598766346
1686,600275874
1687,593473693
1688,599190353
1689,578702659
1690,597743729
1691,597557315
1692,596593212
1693,596588678
1694,595779248
1695,595048205
1696,604020102
1697,612527949
1698,609566642
1699,573609726
1700,611150464
1701,606769556
1702,593798955
1703,604063033
1704,611109033
1705,611001802
1706,610458210
1707,559581857
1708,607936323
1709,606796722
1710,609502507
1711,609498311
1712,607519531
1713,607419940
1714,607320573
1715,607183436
1716,607091546
1717,604880215
1718,604029049
1719,602909536
1720,602685423
1721,567285781
1722,602087741
1723,576812339
1724,597317089
1725,597293752
1726,592425583
1727,495882986
1728,592383136
1729,593019424
1730,594326010
1731,594211167
1732,591970506
1733,591615535
1734,582079797
1735,605108296
1736,593436516
1737,611225825
1738,612730704
1739,612578907
1740,612532095
1741,594305261
1742,610069962
1743,612395997
1744,595683750
1745,612314809
1746,612147651
1747,601257460
1748,611958224
1749,593289275
1750,608541635
1751,611650535
1752,592936600
1753,611533767
1754,609872951
1755,603514447
1756,611269286
1757,611166454
1758,591614761
1759,611047575
1760,587071285
1761,610480582
1762,593771804
1763,610052781
1764,609722331
1765,609577220
1766,604853975
1767,609287934
1768,609136168
1769,609046058
1770,609036917
1771,608013319
1772,608761576
1773,608572976
1774,608515350
1775,608284016
1776,604871727
1777,604127201
1778,606447214
1779,598557451
1780,602888618
1781,605463639
1782,605266433
1783,605245771
1784,603900855
1785,591520330
1786,612026587
1787,611607449
1788,583967830
1789,592818966
1790,609628488
1791,587088519
1792,605109205
1793,606641805
1794,607641682
1795,602106352
1796,606866599
1797,604620903
1798,605122660
1799,604908683
1800,603720553
1801,603672901
1802,595702126
1803,547644080
1804,612819533
1805,612622826
1806,609591324
1807,612418395
1808,612383857
1809,612338396
1810,593298985
1811,612270528
1812,612237913
1813,612207104
1814,612076942
1815,612052815
1816,578660945
1817,603587493
1818,601924981
1819,611850628
1820,595909974
1821,611672286
1822,611668487
1823,611623600
1824,611584594
1825,611445479
1826,592934657
1827,609030212
1828,519452824
1829,611236701
1830,588795252
1831,593921765
1832,610985176
1833,522081238
1834,531587032
1835,576334951
1836,610730587
1837,610426453
1838,610302037
1839,610224041
1840,610081755
1841,609955554
1842,576077504
1843,609819720
1844,556529359
1845,609689487
1846,570509549
1847,592751199
1848,587051441
1849,602045442
1850,599176830
1851,608995300
1852,608993569
1853,608991654
1854,612819533
1855,612622826
1856,609591324
1857,612418395
1858,612383857
1859,612338396
1860,593298985
1861,612270528
1862,612237913
1863,612207104
1864,612076942
1865,612052815
1866,578660945
1867,603587493
1868,601924981
1869,611850628
1870,595909974
1871,611672286
1872,611668487
1873,611623600
1874,611584594
1875,611445479
1876,592934657
1877,609030212
1878,519452824
1879,611236701
1880,588795252
1881,593921765
1882,610985176
1883,522081238
1884,531587032
1885,576334951
1886,610730587
1887,610426453
1888,610302037
1889,610224041
1890,610081755
1891,609955554
1892,576077504
1893,609819720
1894,556529359
1895,609689487
1896,570509549
1897,592751199
1898,587051441
1899,602045442
1900,599176830
1901,608995300
1902,608993569
1903,608991654
1904,606982219
1905,601862584
1906,608756811
1907,608147794
1908,605108737
1909,602947464
1910,598310197
1911,607729570
1912,607535934
1913,557992855
1914,607301940
1915,607030703
1916,606995255
1917,606777892
1918,606313249
1919,606291153
1920,606095866
1921,606044542
1922,605709391
1923,605460525
1924,605075002
1925,604838722
1926,604572081
1927,604257911
1928,604018247
1929,603777109
1930,603599063
1931,603429833
1932,603364605
1933,602666250
1934,602649269
1935,602603790
1936,602580043
1937,602387581
1938,602073449
1939,601925634
1940,601786512
1941,601770214
1942,601737467
1943,601661197
1944,601577485
1945,599804033
1946,599027531
1947,597941653
1948,597786871
1949,597256845
1950,594602098
1951,596778415
1952,595854483
1953,595520624
1954,612825280
1955,612805337
1956,609008440
1957,612759631
1958,612758989
1959,612663987
1960,612645165
1961,612630059
1962,612623907
1963,612597763
1964,595789182
1965,612561350
1966,612560883
1967,610705084
1968,579717865
1969,612523041
1970,592356686
1971,612474321
1972,612448690
1973,612443035
1974,612420367
1975,612417690
1976,612381379
1977,612379708
1978,612352896
1979,612313663
1980,612290350
1981,612280637
1982,612261974
1983,612217907
1984,612195401
1985,612187958
1986,612186029
1987,612182284
1988,612165203
1989,612154581
1990,588424046
1991,612118144
1992,612104800
1993,609124142
1994,612062981
1995,612035189
1996,612011627
1997,612011026
1998,611979210
1999,611946466
2000,546555840
2001,612825280
2002,612805337
2003,609008440
2004,612759631
2005,612758989
2006,612663987
2007,612645165
2008,612630059
2009,612623907
2010,612597763
2011,595789182
2012,612561350
2013,612560883
2014,610705084
2015,579717865
2016,612523041
2017,592356686
2018,612474321
2019,612448690
2020,612443035
2021,612420367
2022,612417690
2023,612381379
2024,612379708
2025,612352896
2026,612313663
2027,612290350
2028,612280637
2029,612261974
2030,612217907
2031,612195401
2032,612187958
2033,612186029
2034,612182284
2035,612165203
2036,612154581
2037,588424046
2038,612118144
2039,612104800
2040,609124142
2041,612062981
2042,612035189
2043,612011627
2044,612011026
2045,611979210
2046,611946466
2047,546555840
2048,611929428
2049,611922951
2050,611871290
2051,611853545
2052,611835742
2053,611815973
2054,611807495
2055,611789548
2056,611750320
2057,611749959
2058,611747407
2059,611718825
2060,589108811
2061,611652333
2062,611650743
2063,611649678
2064,596165476
2065,611560548
2066,607556692
2067,611549771
2068,611480588
2069,611403210
2070,611373475
2071,573267222
2072,607433154
2073,611300492
2074,611298761
2075,611297260
2076,600861149
2077,599545299
2078,611269346
2079,611258079
2080,611253949
2081,611227942
2082,611210225
2083,593770565
2084,611140843
2085,611066512
2086,611044083
2087,611016096
2088,602151007
2089,602603047
2090,597308171
2091,610889718
2092,606780779
2093,610886914
2094,610860341
2095,610773059
2096,610768439
2097,610759410
2098,610739937
2099,610735074
2100,610734442
2101,594933037
2102,594137022
2103,570280692
2104,610603143
2105,572058480
2106,606869961
2107,610520748
2108,610510592
2109,610483423
2110,600759884
2111,604574959
2112,610398911
2113,610389064
2114,610342865
2115,605192894
2116,610264046
2117,610238455
2118,515830866
2119,610174320
2120,610106260
2121,610023217
2122,609989660
2123,609985815
2124,609799931
2125,609742209
2126,609718857
2127,609714317
2128,609658483
2129,609654208
2130,609638310
2131,609634754
2132,609632768
2133,602329406
2134,609613647
2135,609610041
2136,609569152
2137,609515895
2138,609446379
2139,609432627
