marca,modelo_code,modelo_nome,ano,preco
CHEVROLET,S10,S10 Pick-Up LT 2.8 TDI 4x4 CD Diesel Aut,2016,103642
CHEVROLET,S10,S10 Pick-Up LT 2.8 TDI 4x4 CD Diesel Aut,2015,94529
CHEVROLET,S10,S10 Pick-Up LT 2.8 TDI 4x4 CD Diesel Aut,2014,88616
CHEVROLET,S10,S10 Pick-Up LT 2.8 TDI 4x4 CD Diesel Aut,2013,81305
CHEVROLET,S10,S10 Pick-Up LTZ 2.4 F.Power 4x2 CD,2015,71261
CHEVROLET,S10,S10 Pick-Up LTZ 2.4 F.Power 4x2 CD,2014,67322
CHEVROLET,S10,S10 Pick-Up LTZ 2.4 F.Power 4x2 CD,2013,62956
CHEVROLET,S10,S10 Pick-Up LTZ 2.4 F.Power 4x2 CD,2012,58436
CHEVROLET,S10,S10 Pick-Up LTZ 2.5 Flex 4x2 CD,2017,93360
CHEVROLET,S10,S10 Pick-Up LTZ 2.5 Flex 4x2 CD,2016,81116
CHEVROLET,S10,S10 Pick-Up LTZ 2.5 Flex 4x2 CD,2015,76022
CHEVROLET,S10,S10 Pick-Up LTZ 2.5 Flex 4x2 CD Aut.,2019,122587
CHEVROLET,S10,S10 Pick-Up LTZ 2.5 Flex 4x2 CD Aut.,2019,107757
CHEVROLET,S10,S10 Pick-Up LTZ 2.5 Flex 4x2 CD Aut.,2018,103025
CHEVROLET,S10,S10 Pick-Up LTZ 2.5 Flex 4x4 CD,2017,101097
CHEVROLET,S10,S10 Pick-Up LTZ 2.5 Flex 4x4 CD,2016,88052
CHEVROLET,S10,S10 Pick-Up LTZ 2.5 Flex 4x4 CD,2015,77642
CHEVROLET,S10,S10 Pick-Up LTZ 2.5 Flex 4x4 CD Aut.,2019,130342
CHEVROLET,S10,S10 Pick-Up LTZ 2.5 Flex 4x4 CD Aut.,2019,115104
CHEVROLET,S10,S10 Pick-Up LTZ 2.5 Flex 4x4 CD Aut.,2018,104882
CHEVROLET,S10,S10 Pick-Up LTZ 2.8 TDI 4x2 CD Dies. Mec,2014,82790
CHEVROLET,S10,S10 Pick-Up LTZ 2.8 TDI 4x2 CD Dies. Mec,2013,80262
CHEVROLET,S10,S10 Pick-Up LTZ 2.8 TDI 4x2 CD Dies.Aut,2017,132453
CHEVROLET,S10,S10 Pick-Up LTZ 2.8 TDI 4x2 CD Dies.Aut,2016,118017
CHEVROLET,S10,S10 Pick-Up LTZ 2.8 TDI 4x2 CD Dies.Aut,2015,105819
CHEVROLET,S10,S10 Pick-Up LTZ 2.8 TDI 4x2 CD Dies.Aut,2014,94046
CHEVROLET,S10,S10 Pick-Up LTZ 2.8 TDI 4x2 CD Dies.Aut,2013,86780
